"recording_id","recording_title","recording_alternate_titles","recording_artist_credit","recording_artist_ids","isrc","duration_iso8601","duration_ms","release_id","release_title","release_artist_credit","upc","release_date","release_status","track_number","record_label","musicbrainz_release_id","reference_urls"
"https://aliktarraf.com/#catalog-trk-0058","Boginya","[""Boginya (feat. Marina Tarraf)""]","Alik Tarraf (feat. Marina Tarraf)","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792549661","PT4M20.04S","260040","https://aliktarraf.com/#catalog-sng-013-digital-release","Boginya","Alik Tarraf (feat. Marina Tarraf)","199732870927","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/boginya-feat-marina-tarraf/1835161345?i=1835161346""]"
"https://aliktarraf.com/#catalog-trk-0059","OH MAMMA MIA","[]","Alik Tarraf (feat. Marina Tarraf)","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792541089","PT4M4.32S","244320","https://aliktarraf.com/#catalog-sng-014-digital-release","OH MAMMA MIA","Alik Tarraf (feat. Marina Tarraf)","199732907180","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[]"
"https://aliktarraf.com/#catalog-trk-0060","PROSTO","[]","Marina Tarraf","[""https://aliktarraf.com/#marina-tarraf""]","QZZ792534916","PT7M37.56S","457560","https://aliktarraf.com/#catalog-sng-015-digital-release","PROSTO","Marina Tarraf","199732931703","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/prosto/1835133497?i=1835133498""]"
"https://aliktarraf.com/#catalog-trk-0061","Up and Down","[""Up and Down (feat. Marina Tarraf)""]","Alik Tarraf (feat. Marina Tarraf)","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792573561","PT4M30S","270000","https://aliktarraf.com/#catalog-sng-016-digital-release","Up and Down","Alik Tarraf (feat. Marina Tarraf)","199732768187","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/up-and-down-feat-marina-tarraf/1835159747?i=1835159748""]"
"https://aliktarraf.com/#catalog-trk-0062","Vyshel Alik Pogulyat","[]","Marina Tarraf","[""https://aliktarraf.com/#marina-tarraf""]","QZZ792546205","PT3M57.6S","237600","https://aliktarraf.com/#catalog-sng-017-digital-release","Vyshel Alik Pogulyat","Marina Tarraf","199732887307","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/vyshel-alik-pogulyat/1835091315?i=1835091316""]"
"https://aliktarraf.com/#catalog-trk-0063","ВОСТОЧНАЯ МАРИНА ((VIP MIX))","[""ВОСТОЧНАЯ МАРИНА (VIP MIX)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792549391","PT4M31.52S","271520","https://aliktarraf.com/#catalog-sng-018-digital-release","ВОСТОЧНАЯ МАРИНА ((VIP MIX))","Alik Tarraf","199732883934","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D1%87%D0%BD%D0%B0%D1%8F-%D0%BC%D0%B0%D1%80%D0%B8%D0%BD%D0%B0-vip-mix/1835101489?i=1835101490""]"
"https://aliktarraf.com/#catalog-trk-0064","ВРЕМЯ","[""TIME (Время)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792534564","PT3M43.88S","223880","https://aliktarraf.com/#catalog-sng-019-digital-release","ВРЕМЯ","Alik Tarraf","199732970443","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/time-%D0%B2%D1%80%D0%B5%D0%BC%D1%8F/1835132831?i=1835132832""]"
"https://aliktarraf.com/#catalog-trk-0065","Затмила Мы","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792557117","PT3M8.6S","188600","https://aliktarraf.com/#catalog-sng-020-digital-release","Затмила Мы","Alik Tarraf","199732840197","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D0%B7%D0%B0%D1%82%D0%BC%D0%B8%D0%BB%D0%B0-%D0%BC%D1%8B/1835112854?i=1835112855""]"
"https://aliktarraf.com/#catalog-trk-0066","Зачем Зачем","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792559514","PT5M21.84S","321840","https://aliktarraf.com/#catalog-sng-021-digital-release","Зачем Зачем","Alik Tarraf","199732834349","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D0%B7%D0%B0%D1%87%D0%B5%D0%BC-%D0%B7%D0%B0%D1%87%D0%B5%D0%BC/1835121198?i=1835121199""]"
"https://aliktarraf.com/#catalog-trk-0067","Качели (REMIX)","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792578839","PT3M55.52S","235520","https://aliktarraf.com/#catalog-sng-022-digital-release","Качели (REMIX)","Alik Tarraf","199732754234","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D0%BA%D0%B0%D1%87%D0%B5%D0%BB%D0%B8-remix/1835170700?i=1835171001""]"
